Type of catalyst,Catalyst,Si/Al,"M/Al (ie Sn, Cu..)",Lewis/Brosnted _acid_Sites,Surface_area_(m2/g)_BET,max_diameter_sphere_diffusing(A),Accessible_Volume(A^3),Avg_pore_diameter(nm),V(pore)_(cm3/g),V(mic)_(cm3/g),V(mesopore)_(cm3/g),TPD_(NH3)_(micmol/g),Mass_Cat_(g),Volume_(ml),Substrate_amount,catalyst_substrate_loading,Solvent_system,Phase_1,Phase_2,phase_2/phase_1,Total_dipole_moment(D),Temperature ( °C),Time (min),Fructose Conversion,HMF Selectivity,HMF Yield,time_rate(min),intial concentration(M),Conversion_rate ,Selectivity_rate ,initial_rate(mol/(L.min)),rate_constant(1/min),b ,normalized_constant
Protonated Zeolite,H-MOR,7.5,0,N/A,N/A,6.45,347,0.59,0.248,0.201,0.047,N/A,1,210,3.5,0.285714286,Biphasic,Water,MIBK,5,2.641666667,165,60,57,77,43.89,30,0.092510361,36,96,0.001065719,0.01152,0.001960784,5.88
Protonated Zeolite,H-MOR,10,0,N/A,N/A,6.45,347,0.59,0.352,0.189,0.163,N/A,1,210,3.5,0.285714286,Biphasic,Water,MIBK,5,2.641666667,165,60,77,60,46.2,30,0.092510361,52,68,0.001090389,0.011786667,0.001515152,7.78
Protonated Zeolite,H-ZSM-5,11.5,0,0.17,425,4.7,511,0.55,N/A,N/A,N/A,N/A,0.1,10,0.075,1.333333333,Biphasic,Sec-butyl  phenol,Water w/ 37 wt.% NaCl,2,1.273333333,170,30,100,81,81,30,0.041629663,100,81,0.001124001,0.027,0.000133333,202.5
hierarchical Zeolite,ALPO-5,N/A,0,N/A,320,N/A,N/A,0.73,N/A,N/A,N/A,127,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,30,83,24.9,60,0.555062167,30,83,0.002303508,0.00415,#VALUE!,#VALUE!
hierarchical Zeolite,SAPO-5,N/A,0,N/A,330,N/A,N/A,0.73,N/A,N/A,N/A,780,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,71,42,29.82,60,0.555062167,71,42,0.002758659,0.00497,#VALUE!,#VALUE!
hierarchical Zeolite,Al-SBA15,19,0,N/A,549,N/A,N/A,0.73,N/A,N/A,N/A,267,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,66,62,41,60,0.555062167,66,62,0.003785524,0.00682,0.000125,54.56
Protonated Zeolite,H-MCM-22,15,0,N/A,409,N/A,N/A,0.73,N/A,N/A,N/A,1020,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,78,36,28.08,60,0.555062167,78,36,0.002597691,0.00468,0.00015625,29.95
Protonated Zeolite,H-ZSM-5,28,0,0.25,360,4.7,511,0.55,N/A,N/A,N/A,580,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,70,47,32.9,60,0.555062167,70,47,0.003043591,0.005483333,8.62E-05,63.61
Protonated Zeolite,H-BEA,19,0,0.25,700,5.95,856.5,0.67,N/A,N/A,N/A,796,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,93,43,39.99,60,0.555062167,93,43,0.003699489,0.006665,0.000125,53.32
Protonated Zeolite,H-MOR,10,0,0.25,490,6.45,347,0.59,N/A,N/A,N/A,1380,0.15,10,1,0.15,Biphasic ,Water,MIBK,5,2.641666667,165,60,82,53,43.46,60,0.555062167,82,53,0.0040205,0.007243333,0.000227273,31.87
